num_modules,num_memory_regions,num_private_regions,num_executable_regions,num_rw_regions,num_rx_regions,num_threads,num_handles,cpu_usage,working_set_mb,private_bytes_mb,io_read_mb,io_write_kb,entropy_mean,entropy_max,has_mz_header,has_pe_header,cross_process_writes_count,api_writeprocessmemory_count,api_createremotethread_count,ntqueueapc_present
29,782,169,3,166,3,10,209,0.0,21.67,10.14,4.2885,3770.7776,0.2574,0.553,0,0,1,4,0,1
0,0,0,0,0,0,0,0,0.0,0.09,0.14,4.5854,3528.192,-1.0,-1.0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.0,2.73,5.3,1.2035,21216.256,-1.0,-1.0,0,0,0,0,0,0
104,1759,394,1,393,1,10,477,0.0,103.78,61.82,1.6534,1.3312,0.029,0.029,0,0,3,4,0,1
36,787,147,1,146,1,9,231,0.0,19.79,9.26,0.0142,14.1312,0.4486,0.4486,0,0,2,4,0,1
59,979,150,0,150,0,8,375,0.0,26.34,12.95,0.0563,13.7216,-1.0,-1.0,0,0,1,4,0,1
138,4662,1482,1,1481,1,46,1766,0.0,207.61,91.69,173.5298,131392.7168,4.0155,4.0155,0,0,2,4,0,1
32,488,75,1,74,1,7,241,0.0,10.64,6.88,0.0017,0.512,4.0155,4.0155,0,0,1,4,0,1
54,1344,203,2,201,2,11,387,0.0,73.99,19.62,20.7609,1037.6192,2.2843,4.0155,0,0,1,4,0,1
64,1669,494,90,404,90,21,491,0.0,48.98,22.59,4.1609,10928.8448,0.8836,4.0155,0,0,1,4,0,1
26,728,156,4,152,4,10,175,0.0,19.96,9.52,0.2501,61.7472,1.1973,4.0155,0,0,1,4,0,1
19,935,269,3,266,3,19,241,0.0,47.74,19.34,0.1609,182.5792,1.5695,4.0155,0,0,1,4,0,1
19,944,273,3,270,3,19,241,0.0,47.94,18.43,0.1633,184.832,1.5694,4.0155,0,0,1,4,0,1
19,1075,335,4,331,4,18,273,0.0,73.25,35.17,0.2159,121.4464,2.5873,5.6405,0,0,1,4,0,1
19,1084,346,2,344,2,18,238,0.0,65.57,32.83,0.1137,43.7248,2.3095,4.0155,0,0,1,4,0,1
19,1105,357,2,355,2,18,238,0.0,67.09,36.98,0.1093,43.6224,1.1704,1.7375,0,0,1,4,0,1
145,2204,389,9,380,9,45,1534,0.0,200.91,165.14,1.2436,1573.0688,3.0224,5.9864,0,1,1,4,0,1
80,1086,102,20,82,20,10,412,0.0,44.4,27.12,0.2927,1.536,3.0327,6.1379,0,0,1,4,1,1
19,1404,483,4,479,4,19,435,0.0,104.0,49.54,1.2109,4200.96,2.0493,5.8839,0,0,1,4,0,1
116,1555,160,24,136,24,10,590,0.0,1.03,40.33,0.8742,0.512,3.3031,5.435,0,0,1,4,0,1
105,1090,102,0,102,0,29,630,0.0,56.25,61.41,0.0429,66.6624,-1.0,-1.0,0,0,1,4,0,1
68,1034,242,1,241,1,16,281,0.0,37.91,17.5,0.0625,61.8496,4.5146,4.5146,0,0,1,4,0,1
68,1112,278,2,276,2,16,282,0.0,52.05,28.45,0.4892,116.0192,5.1233,5.7718,0,0,1,4,0,1
40,554,110,8,102,8,10,235,0.0,33.77,24.02,2.0777,16.6912,4.5287,5.884,0,0,1,4,0,1
25,325,45,0,45,0,3,129,0.0,13.26,6.54,0.0089,0.0,-1.0,-1.0,0,0,1,4,0,1
33,797,158,2,156,2,9,275,0.0,26.04,9.81,0.0191,22.9376,0.7264,1.37,0,0,1,4,0,1
21,2451,979,4,975,4,22,613,0.0,26.2,142.9,2.9051,28925.952,0.2599,0.8682,0,0,1,4,0,1
118,2554,595,0,595,0,49,1324,0.0,29.82,41.99,15.442,5141.4016,-1.0,-1.0,0,0,1,4,0,1
22,420,83,0,83,0,7,155,0.0,2.15,2.09,0.0019,0.1024,-1.0,-1.0,0,0,1,4,0,1
60,1694,469,2,467,2,37,559,8.004,24.15,81.01,365.7895,44479.8976,0.8061,1.37,0,0,4,15,0,1
41,1028,237,0,237,0,20,363,0.0,7.02,12.85,2.0213,329.1136,-1.0,-1.0,0,0,1,4,0,1
22,719,160,3,157,3,9,195,0.0,4.1,9.35,0.0555,40.448,0.5304,1.37,0,0,1,4,0,1
21,1568,533,4,529,4,19,376,0.0,13.36,63.99,0.2826,608.8704,1.6356,5.5015,0,0,1,4,0,1
